Weight,Length1,Length2,Length3,Height,Width
0.14666666666666667,0.30485436893203877,0.3090909090909091,0.35810810810810806,0.568334049197265,0.418978349120433
0.17575757575757575,0.3203883495145631,0.32545454545454544,0.37837837837837834,0.6240553498252905,0.459235453315291
0.20606060606060606,0.3184466019417475,0.3290909090909091,0.3766891891891892,0.6181233530292654,0.5142788678394228
0.22,0.3650485436893203,0.3745454545454545,0.41722972972972966,0.6385661051971722,0.48036479476770416
0.2606060606060606,0.36893203883495146,0.3745454545454545,0.4256756756756756,0.6219658010517396,0.576003608479928
0.2727272727272727,0.374757281553398,0.3872727272727272,0.43749999999999994,0.6892028371428903,0.546882047812359
0.30303030303030304,0.374757281553398,0.3872727272727272,0.43412162162162155,0.7226994648433419,0.5963717861975644
0.23636363636363636,0.3902912621359223,0.3927272727272727,0.4425675675675675,0.6350835239079206,0.5134190347316194
0.2727272727272727,0.3902912621359223,0.3927272727272727,0.44425675675675674,0.7125651532916197,0.5350981055480379
0.30303030303030304,0.4077669902912621,0.4054545454545454,0.4628378378378378,0.7254332911554043,0.5513926477221471
0.2878787878787879,0.4058252427184465,0.4109090909090909,0.4628378378378378,0.7275344485332529,0.5718031123139378
0.30303030303030304,0.41165048543689314,0.4109090909090909,0.4628378378378378,0.7338379206667982,0.5309821831303565
0.30303030303030304,0.4194174757281553,0.42000000000000004,0.4662162162162162,0.6983039829121345,0.4680311231393776
0.20606060606060606,0.42718446601941745,0.4290909090909091,0.4814189189189188,0.7072251953147674,0.5673770861524583
0.36363636363636365,0.42524271844660183,0.4290909090909091,0.47972972972972966,0.7676770021940262,0.5811907983761841
0.36363636363636365,0.42524271844660183,0.4290909090909091,0.47972972972972966,0.795746607385394,0.6388700947225983
0.42424242424242425,0.44466019417475716,0.44727272727272727,0.4983108108108107,0.7622209581741988,0.5973443843031123
0.42424242424242425,0.44466019417475716,0.44727272727272727,0.501689189189189,0.7667250966416308,0.5849543301759135
0.3696969696969697,0.4543689320388348,0.4563636363636363,0.5033783783783783,0.8070649965754617,0.5759754172304916
0.3939393939393939,0.45631067961165045,0.4563636363636363,0.5050675675675675,0.739781526067121,0.6596752368064953
0.3484848484848485,0.4621359223300971,0.46545454545454545,0.5185810810810809,0.7777822922350046,0.6373900541271988
0.41515151515151516,0.4640776699029126,0.46545454545454545,0.5135135135135134,0.8279953101238638,0.6093256653134869
0.37575757575757573,0.4660194174757281,0.4745454545454545,0.5219594594594594,0.8006628513053876,0.5965973161930538
0.4121212121212121,0.47184466019417476,0.48363636363636364,0.5371621621621621,0.7975227238429123,0.716480604420388
0.42424242424242425,0.47378640776699027,0.48363636363636364,0.5354729729729728,0.8423261321291342,0.6401387009472261
0.4393939393939394,0.47184466019417476,0.48363636363636364,0.5422297297297296,0.8492622731968935,0.7055705908885883
0.43636363636363634,0.4757281553398058,0.48363636363636364,0.5371621621621621,0.849366750635571,0.7107577807848444
0.43272727272727274,0.4893203883495146,0.5018181818181818,0.5523648648648647,0.8583750275704352,0.6771397158322057
0.5151515151515151,0.49126213592233,0.5018181818181818,0.554054054054054,0.8800018573766877,0.7260374379792514
0.6060606060606061,0.5048543689320388,0.52,0.5709459459459458,1.0,0.7830683355886334
0.5575757575757576,0.5339805825242718,0.5472727272727272,0.5962837837837838,0.9465946159293268,0.7412466170500678
0.5787878787878787,0.5339805825242718,0.5472727272727272,0.5945945945945945,0.9493284422413892,0.7392309427153811
0.5606060606060606,0.5572815533980582,0.5654545454545454,0.616554054054054,0.9882288752423296,0.8037466170500678
0.5909090909090909,0.5805825242718445,0.5927272727272727,0.626689189189189,0.9813333642896116,0.8034083220568335
