CryoSleep,Age,Transported
False,0.49367088607594933,False
False,0.3037974683544304,True
False,0.7341772151898734,False
False,0.4177215189873418,False
False,0.20253164556962025,True
False,0.5569620253164557,True
False,0.3291139240506329,True
True,0.35443037974683544,True
False,0.4430379746835443,True
True,0.17721518987341772,True
True,0.43037974683544306,True
False,0.569620253164557,True
False,0.4050632911392405,True
False,0.6075949367088608,False
False,0.35443037974683544,True
False,0.3924050632911392,False
False,0.34177215189873417,False
False,0.3037974683544304,False
True,0.569620253164557,True
False,0.0,True
False,0.17721518987341772,False
True,0.012658227848101266,False
True,0.620253164556962,False
True,0.3670886075949367,False
False,0.12658227848101267,True
True,0.012658227848101266,False
False,0.08860759493670886,False
False,0.26582278481012656,False
True,0.7848101265822784,True
False,0.18987341772151897,False
False,0.43037974683544306,False
False,0.5443037974683544,False
False,0.4050632911392405,False
False,0.5949367088607594,True
False,0.02531645569620253,True
False,0.25316455696202533,True
True,0.35443037974683544,True
False,0.2911392405063291,False
False,0.18987341772151897,False
False,0.25316455696202533,False
True,0.37974683544303794,False
True,0.21518987341772153,True
False,0.569620253164557,False
True,0.6962025316455696,False
True,0.05063291139240506,True
True,0.26582278481012656,True
False,0.26582278481012656,False
True,0.24050632911392406,True
False,0.4430379746835443,False
False,0.7088607594936709,False
False,0.34177215189873417,False
False,0.31645569620253167,True
False,0.02531645569620253,True
True,0.4810126582278481,True
False,0.34177215189873417,True
True,0.45569620253164556,False
False,0.27848101265822783,False
False,0.7848101265822784,False
True,0.18987341772151897,True
True,0.4177215189873418,True
False,0.7848101265822784,False
True,0.0,True
False,0.22784810126582278,True
False,0.26582278481012656,False
False,0.34177215189873417,False
False,0.5316455696202531,True
False,0.24050632911392406,False
False,0.21518987341772153,False
False,0.17721518987341772,False
False,0.46835443037974683,False
False,0.5316455696202531,True
False,0.34177215189873417,True
False,0.35443037974683544,True
False,0.4810126582278481,False
True,0.16455696202531644,False
False,0.5316455696202531,False
True,0.02531645569620253,True
